GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Spring Data DynamoDB,org.socialsignin.spring.data.dynamodb.mapping.event,AfterQueryEvent,0,4,0,0,0,2,0,1,0,1
Spring Data DynamoDB,org.socialsignin.spring.data.dynamodb.mapping.event,AfterScanEvent,0,4,0,0,0,2,0,1,0,1
Spring Data DynamoDB,org.socialsignin.spring.data.dynamodb.mapping.event,AfterLoadEvent,0,4,0,0,0,2,0,1,0,1
Spring Data DynamoDB,org.socialsignin.spring.data.dynamodb.mapping.event,AuditingEventListener,0,16,0,0,0,6,0,2,0,2
Spring Data DynamoDB,org.socialsignin.spring.data.dynamodb.mapping.event,AbstractDynamoDBEventListener,5,156,5,21,1,48,5,22,0,14
Spring Data DynamoDB,org.socialsignin.spring.data.dynamodb.mapping.event,DynamoDBMappingEvent,0,7,0,0,0,3,0,2,0,2
Spring Data DynamoDB,org.socialsignin.spring.data.dynamodb.mapping.event,AfterSaveEvent,0,4,0,0,0,2,0,1,0,1
Spring Data DynamoDB,org.socialsignin.spring.data.dynamodb.mapping.event,BeforeSaveEvent,0,4,0,0,0,2,0,1,0,1
Spring Data DynamoDB,org.socialsignin.spring.data.dynamodb.mapping.event,LoggingEventListener,0,42,0,0,0,16,0,9,0,9
Spring Data DynamoDB,org.socialsignin.spring.data.dynamodb.mapping.event,AfterDeleteEvent,0,4,0,0,0,2,0,1,0,1
Spring Data DynamoDB,org.socialsignin.spring.data.dynamodb.mapping.event,BeforeDeleteEvent,0,4,0,0,0,2,0,1,0,1
Spring Data DynamoDB,org.socialsignin.spring.data.dynamodb.mapping.event,ValidatingDynamoDBEventListener,0,68,0,4,0,17,0,5,0,3
Spring Data DynamoDB,org.socialsignin.spring.data.dynamodb.marshaller,Instant2EpocheDynamoDBMarshaller,0,29,0,4,0,9,0,7,0,5
Spring Data DynamoDB,org.socialsignin.spring.data.dynamodb.marshaller,Date2IsoDynamoDBMarshaller,0,17,0,0,0,5,0,3,0,3
Spring Data DynamoDB,org.socialsignin.spring.data.dynamodb.marshaller,Date2EpocheDynamoDBMarshaller.EpcoheDateFormat,0,24,0,0,0,7,0,3,0,3
Spring Data DynamoDB,org.socialsignin.spring.data.dynamodb.marshaller,DateDynamoDBMarshaller,0,37,0,4,0,11,0,7,0,5
Spring Data DynamoDB,org.socialsignin.spring.data.dynamodb.marshaller,Instant2IsoDynamoDBMarshaller,0,37,0,4,0,10,0,8,0,6
Spring Data DynamoDB,org.socialsignin.spring.data.dynamodb.marshaller,Date2EpocheDynamoDBMarshaller,0,8,0,0,0,2,0,2,0,2
Spring Data DynamoDB,org.socialsignin.spring.data.dynamodb.query,ScanExpressionCountQuery,0,39,0,2,0,11,0,4,0,3
Spring Data DynamoDB,org.socialsignin.spring.data.dynamodb.query,AbstractMultipleEntityQuery,0,29,0,4,0,9,0,4,0,2
Spring Data DynamoDB,org.socialsignin.spring.data.dynamodb.query,AbstractSingleEntityQuery,0,14,0,0,0,3,0,2,0,2
